"variable","value","procs"
"mpiTime",0.018101,32
"mpiTime",0.018122,32
"mpiTime",0.018837,32
"mpiTime",0.019703,32
"mpiTime",0.019729,32
"mpiTime",0.022003,32
"mpiTime",0.022498,32
"mpiTime",0.022534,32
"mpiTime",0.023921,32
"mpiTime",0.024363,32
"mpiTime",0.025366,32
"mpiTime",0.025671,32
"mpiTime",0.026792,32
"mpiTime",0.027431,32
"mpiTime",0.028116,32
"mpiTime",0.029044,32
"mpiTime",0.030045,32
"mpiTime",0.03082,32
"mpiTime",0.031956,32
"mpiTime",0.032902,32
"mpiTime",0.02581,32
"mpiTime",0.012051,32
"mpiTime",0.012945,32
"mpiTime",0.012748,32
"mpiTime",0.013345,32
"mpiTime",0.013937,32
"mpiTime",0.014747,32
"mpiTime",0.014805,32
"mpiTime",0.015628,32
"mpiTime",0.015615,32
"mpiTime",0.016767,32
"mpiTime",0.017558,32
"mpiTime",0.017411,32
"mpiTime",0.018331,32
"mpiTime",0.019115,32
"mpiTime",0.01985,32
"mpiTime",0.020543,32
"mpiTime",0.02148,32
"mpiTime",0.022675,32
"mpiTime",0.022851,32
"mpiTime",0.023503,32
"mpiTime",0.024745,32
"mpiTime",0.025526,32
"mpiTime",0.025908,32
"mpiTime",0.026717,32
"mpiTime",0.027636,32
"mpiTime",0.028497,32
"mpiTime",0.029384,32
"mpiTime",0.030195,32
"mpiTime",0.031148,32
"mpiTime",0.032107,32
"mpiTime",0.033014,32
"mpiTime",0.02594,32
"mpiTime",0.951252,64
"mpiTime",0.951803,64
"mpiTime",0.952127,64
"mpiTime",0.952449,64
"mpiTime",0.952668,64
"mpiTime",0.952887,64
"mpiTime",0.953078,64
"mpiTime",0.953334,64
"mpiTime",0.953738,64
"mpiTime",0.953735,64
"mpiTime",0.954279,64
"mpiTime",0.95471,64
"mpiTime",0.95478,64
"mpiTime",0.955019,64
"mpiTime",0.955181,64
"mpiTime",0.955588,64
"mpiTime",0.955684,64
"mpiTime",0.955934,64
"mpiTime",0.956178,64
"mpiTime",0.956546,64
"mpiTime",0.95665,64
"mpiTime",0.957178,64
"mpiTime",0.957359,64
"mpiTime",0.95765,64
"mpiTime",0.958145,64
"mpiTime",0.958345,64
"mpiTime",0.958548,64
